Area,Element,Year,Unit,Value
Pakistan,Total Population - Male,1970,1000 persons,30756.292
Pakistan,Total Population - Female,1970,1000 persons,27385.77
Pakistan,Rural population,1970,1000 persons,43674.333
Pakistan,Urban population,1970,1000 persons,14416.426
Pakistan,Total Population - Both sexes,1971,1000 persons,59734.481
Pakistan,Total Population - Male,1971,1000 persons,31565.434
Pakistan,Total Population - Female,1971,1000 persons,28169.045
Pakistan,Rural population,1971,1000 persons,44715.218
Pakistan,Urban population,1971,1000 persons,14971.922
Pakistan,Total Population - Both sexes,1972,1000 persons,61381.987
Pakistan,Total Population - Male,1972,1000 persons,32403.115
Pakistan,Total Population - Female,1972,1000 persons,28978.867
Pakistan,Rural population,1972,1000 persons,45787.048
Pakistan,Urban population,1972,1000 persons,15551.213
Pakistan,Total Population - Both sexes,1973,1000 persons,63099.406
Pakistan,Total Population - Male,1973,1000 persons,33276.37
Pakistan,Total Population - Female,1973,1000 persons,29823.034
Pakistan,Rural population,1973,1000 persons,46871.439
Pakistan,Urban population,1973,1000 persons,16188.042
Pakistan,Total Population - Both sexes,1974,1000 persons,64905.998
Pakistan,Total Population - Male,1974,1000 persons,34194.323
Pakistan,Total Population - Female,1974,1000 persons,30711.673
Pakistan,Rural population,1974,1000 persons,48001.31
Pakistan,Urban population,1974,1000 persons,16869.523
Pakistan,Total Population - Both sexes,1975,1000 persons,66816.877
Pakistan,Total Population - Male,1975,1000 persons,35164.163
Pakistan,Total Population - Female,1975,1000 persons,31652.712
Pakistan,Rural population,1975,1000 persons,49195.093
Pakistan,Urban population,1975,1000 persons,17592.808
Pakistan,Total Population - Both sexes,1976,1000 persons,68834.326
Pakistan,Total Population - Male,1976,1000 persons,36186.89
Pakistan,Total Population - Female,1976,1000 persons,32647.434
Pakistan,Rural population,1976,1000 persons,50453.106
Pakistan,Urban population,1976,1000 persons,18360.114
Pakistan,Total Population - Both sexes,1977,1000 persons,70958.169
Pakistan,Total Population - Male,1977,1000 persons,37262.511
Pakistan,Total Population - Female,1977,1000 persons,33695.657
Pakistan,Rural population,1977,1000 persons,51774.651
Pakistan,Urban population,1977,1000 persons,19171.58
Pakistan,Total Population - Both sexes,1978,1000 persons,73197.258
Pakistan,Total Population - Male,1978,1000 persons,38395.617
Pakistan,Total Population - Female,1978,1000 persons,34801.637
Pakistan,Rural population,1978,1000 persons,53163.304
Pakistan,Urban population,1978,1000 persons,20031.633
Pakistan,Total Population - Both sexes,1979,1000 persons,75561.131
Pakistan,Total Population - Male,1979,1000 persons,39591.261
Pakistan,Total Population - Female,1979,1000 persons,35969.867
Pakistan,Rural population,1979,1000 persons,54624.051
Pakistan,Urban population,1979,1000 persons,20943.631
Pakistan,Total Population - Both sexes,1980,1000 persons,78054.343
Pakistan,Total Population - Male,1980,1000 persons,40851.929
Pakistan,Total Population - Female,1980,1000 persons,37202.417
Pakistan,Rural population,1980,1000 persons,56157.689
Pakistan,Urban population,1980,1000 persons,21910.455
Pakistan,Total Population - Both sexes,1981,1000 persons,80680.459
Pakistan,Total Population - Male,1981,1000 persons,42179.398
Pakistan,Total Population - Female,1981,1000 persons,38501.063
Pakistan,Rural population,1981,1000 persons,57795.388
Pakistan,Urban population,1981,1000 persons,22901.557
Pakistan,Total Population - Both sexes,1982,1000 persons,83431.605
Pakistan,Total Population - Male,1982,1000 persons,43569.701
Pakistan,Total Population - Female,1982,1000 persons,39861.896
Pakistan,Rural population,1982,1000 persons,59564.505
Pakistan,Urban population,1982,1000 persons,23881.358
Pakistan,Total Population - Both sexes,1983,1000 persons,86285.935
Pakistan,Total Population - Male,1983,1000 persons,45012.112
Pakistan,Total Population - Female,1983,1000 persons,41273.824
Pakistan,Rural population,1983,1000 persons,61392.603
Pakistan,Urban population,1983,1000 persons,24905.037
Pakistan,Total Population - Both sexes,1984,1000 persons,89213.706
Pakistan,Total Population - Male,1984,1000 persons,46491.948
Pakistan,Total Population - Female,1984,1000 persons,42721.76
Pakistan,Rural population,1984,1000 persons,63262.008
Pakistan,Urban population,1984,1000 persons,25966.941
Pakistan,Total Population - Both sexes,1985,1000 persons,92191.51
Pakistan,Total Population - Male,1985,1000 persons,47997.656
Pakistan,Total Population - Female,1985,1000 persons,44193.849
Pakistan,Rural population,1985,1000 persons,65158.593
Pakistan,Urban population,1985,1000 persons,27060.895
Pakistan,Total Population - Both sexes,1986,1000 persons,95215.378
Pakistan,Total Population - Male,1986,1000 persons,49527.604
Pakistan,Total Population - Female,1986,1000 persons,45687.771
Pakistan,Rural population,1986,1000 persons,67077.557
Pakistan,Urban population,1986,1000 persons,28186.903
Pakistan,Total Population - Both sexes,1987,1000 persons,98285.755
Pakistan,Total Population - Male,1987,1000 persons,51082.019
Pakistan,Total Population - Female,1987,1000 persons,47203.743
Pakistan,Rural population,1987,1000 persons,69014.215
Pakistan,Urban population,1987,1000 persons,29343.258
Pakistan,Total Population - Both sexes,1988,1000 persons,101389.603
